소재명,instagram_permalink,ad_id
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.맛강조.스크류바맛.오늘까지만0원_확장_허재희_260514_1셀_오형선,https://www.instagram.com/p/DYVzg8LgO8M/,120247049799050659
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.맛강조.연상.설빙생딸기빙수.4만원더냈네요_확장_허재희_260514_1셀_오형선,https://www.instagram.com/p/DYVw6SoAPSF/,120247049511400659
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.맛강조.연상.설빙생딸기빙수.마지막0원_확장_허재희_260514_1셀_오형선,https://www.instagram.com/p/DYVw6QAgHJF/,120247049511410659
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.맛강조.제주관련.딸기주물럭.할망이만들어주던.0원강조_확장_허재희_260514_1셀_오형선,https://www.instagram.com/p/DYVw6NIgCqY/,120247049511420659
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.식감강조.딸기주물럭그자체.제주할망_확장_허재희_260514_1셀_오형선,https://www.instagram.com/p/DYVw6aVAAWX/,120247049511450659
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.식감강조.통딸기으깨만든딸기주물럭.0원증정_확장_허재희_260514_1셀_오형선,https://www.instagram.com/p/DYVw6RWAFRm/,120247049511390659
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.식감강조.통딸기으깨만든딸기주물럭_확장_허재희_260514_1셀_오형선,https://www.instagram.com/p/DYVzg8OADLG/,120247049799060659
(운영X) [26.05]F_I_DB딸_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.식감강조.한입한입딸기씨가톡톡.다시는없어요_확장_허재희_260514_1셀_오형선,https://www.instagram.com/p/DYVzgrOAHam/,120247049799080659
(운영X) [26.05]F_I_DB키_전환_듬뿍바출시이벤트_직원설득형_혜택.100_.배너_브팀기획.공지문.사과문.3일간만1박스0원_확장_허재희_260529_1셀_오형선,https://www.instagram.com/p/DY6hNuyAAMo/,120248108511880659
(운영X) [26.05]F_I_DB키_전환_듬뿍바출시이벤트_직원설득형_혜택.100_.배너_브팀기획.공지문.안내문.가격실수.현장감_확장_허재희_260529_1셀_오형선,https://www.instagram.com/p/DY6hOz5ADE6/,120248108521470659
(운영X) [26.05]F_I_DB키_전환_듬뿍바출시이벤트_직원설득형_혜택.100_.배너_브팀기획.공지문.안내문.가격조정안내_확장_허재희_260529_1셀_오형선,https://www.instagram.com/p/DY6hOY5AAzi/,120248108524510659
(운영X) [26.05]F_I_DB키_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.가격차별성.30%비싼.초록색일반키위보다_확장_허재희_260529_1셀_오형선,https://www.instagram.com/p/DY6hNhigHDj/,120248108514070659
(운영X) [26.05]F_I_DB키_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.가격차별성.키위씨증명.긴말없이_확장_허재희_260529_1셀_오형선,https://www.instagram.com/p/DY6hNswAEhs/,120248108515840659
(운영X) [26.05]F_I_DB키_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.맛메세지.인위적인시럽.인공적인시럽찔끔넣은그런거말고_확장_허재희_260529_1셀_오형선,https://www.instagram.com/p/DY6hNgxAIJu/,120248108532650659
(운영X) [26.05]F_I_DB키_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.맛메세지.후숙숟가락.골드키위씨까지통째로들어간신상_확장_허재희_260529_1셀_오형선,https://www.instagram.com/p/DY6hNg8AB0q/,120248108514430659
(운영X) [26.05]F_I_DB키_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.시의성.당도최고제철.내일부터30도넘는대요_확장_허재희_260529_1셀_오형선,https://www.instagram.com/p/DY6hNSVAK9e/,120248108502790659
(운영X) [26.05]F_I_DB키_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.시의성.마지막물량.골드키위씨까지_확장_허재희_260529_1셀_오형선,https://www.instagram.com/p/DY6hN-BgFSP/,120248108520990659
(운영X) [26.05]F_I_DB키_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.시의성.마지막물량.이번주가마지막물량이에요_확장_허재희_260529_1셀_오형선,https://www.instagram.com/p/DY6hNcFgEke/,120248108506590659
(운영X) [26.05]F_I_DB키_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.시의성.텁텁한아니고.내일부터30도넘는대요_확장_허재희_260529_1셀_오형선,https://www.instagram.com/p/DY6hNYlAN9V/,120248108520590659
(운영X) [26.05]F_I_DB키_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.식감메세지.씨까지넣어새콤달콤.제일비싼프리미엄만골라담았어요_확장_허재희_260529_1셀_오형선,https://www.instagram.com/p/DY6hNmlgPKC/,120248108511850659
(운영X) [26.05]F_I_DB키_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.식감메세지.씨까지넣어후숙.여름제철골드키위씨까지_확장_허재희_260529_1셀_오형선,https://www.instagram.com/p/DY6hNtPgDHl/,120248108529730659
(운영X) [26.05]F_I_DB키_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.쟁임혜택.쌀때쟁이세요_확장_허재희_260529_1셀_오형선,https://www.instagram.com/p/DY6hNlKAIwd/,120248108514810659
(운영X) [26.05]F_I_DB키_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.한정성.곧종료됩니다_확장_허재희_260529_1셀_오형선,https://www.instagram.com/p/DY6hNungKNx/,120248108510610659
(운영X) [26.05]F_I_DB키_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.한정성.미리구매하신분들정말죄송합니다_확장_허재희_260529_1셀_오형선,https://www.instagram.com/p/DY6hNd4gFgt/,120248108522920659
(운영X) [26.05]F_I_DB키_전환_듬뿍바출시이벤트_혜택강조형_혜택.100_.배너_브팀기획.한정성.한박스0원.오늘까지만할인_확장_허재희_260529_1셀_오형선,https://www.instagram.com/p/DY6hNocgElI/,120248108514750659
(운영X) [26.05]F_I_JD망_전환_쫀득바출시_렉카형_var13_예예.AI배너.라라인생템_260520_김재광,https://www.instagram.com/p/DYjQ85CgLoe/,120247367324350659
(운영X) [26.05]F_I_JD망_전환_쫀득바출시_렉카형_var18_예예.AI배너.예예인생픽_260520_김재광,https://www.instagram.com/p/DYjQ8X0gP9v/,120247367334430659
(운영X) [26.05]F_I_JD망_전환_쫀득바출시_렉카형_var29_예예.AI배너.라라또일냄_260520_김재광,https://www.instagram.com/p/DYjRYTEAE-b/,120247367413720659
(운영X) [26.05]F_I_JD망_전환_쫀득바출시_혜택강조형_혜택.100_.배너_혜택O.0원강조.0원에쟁이세요_확장_김바다_260508_1셀_오혜정,https://www.instagram.com/p/DYEx1o6ADDy/,120246594635200659
(운영X) [26.05]F_I_JD망_전환_쫀득바출시_혜택강조형_혜택.100_.배너_혜택O.0원강조.내부공지_확장_김바다_260508_1셀_오혜정,https://www.instagram.com/p/DYEx1rZAJzc/,120246594635190659
(운영X) [26.05]F_I_JD망_전환_쫀득바출시_혜택강조형_혜택.100_.배너_혜택O.0원강조.엄마_확장_김바다_260508_1셀_오혜정,https://www.instagram.com/p/DYEx1y0ACJq/,120246594635160659
(운영X) [26.05]F_I_JD망_전환_쫀득바출시_혜택강조형_혜택.100_.배너_혜택O.0원강조.정말죄송합니다_확장_김바다_260508_1셀,https://www.instagram.com/p/DYEx1k0ADrW/,120246594635170659
(운영X) [26.05]F_I_JD망_전환_쫀득바출시_혜택강조형_혜택.100_.배너_혜택O.고구성강조.오늘까지래요_확장_김바다_260508_1셀_오혜정,https://www.instagram.com/p/DYEx1ssAGA8/,120246594635180659
(운영X) [26.05]F_I_JD망_전환_쫀득바출시_혜택강조형_혜택.100_.배너_혜택O.반값할인강조.사과문_확장_김바다_260508_1셀_오혜정,https://www.instagram.com/p/DYEx1fTACbd/,120246594635210659
(운영X) [26.05]F_I_JD망_전환_쫀득바출시_혜택강조형_혜택.100_.배너_혜택O.할인가강조.10만원더냈네요.1_확장_김바다_260508_1셀_오혜정,https://www.instagram.com/p/DYFDCdHgK0c/,120246603133590659
(운영X) [26.05]F_I_JD망_전환_쫀득바출시_혜택강조형_혜택.100_.배너_혜택O.할인가강조.10만원더냈네요.2_확장_김바다_260508_1셀_오혜정,https://www.instagram.com/p/DYFDCOYAJnw/,120246603133580659
(운영X) [26.05]F_I_JD망_전환_쫀득바출시_혜택강조형_혜택.100_.배너_혜택O.할인가강조.미리구매하신분들_확장_김바다_260508_1셀_오혜정,https://www.instagram.com/p/DYFDCc3gBTf/,120246603133560659
(운영X) [26.05]F_I_JD멜_전환_쫀득바출시_혜택강조형_제품력.50_.배너_브팀기획.20브릭스최고당도.긴급1박스0원최저가_확장_김유진_260521_1셀_오형선,https://www.instagram.com/p/DYn3kkrACeM/,120247505645670659
(운영X) [26.05]F_I_JD멜_전환_쫀득바출시_혜택강조형_제품력.50_.배너_브팀기획.20브릭스최고당도.다시는업성요_확장_김유진_260521_1셀_오형선,https://www.instagram.com/p/DY1MvFJgDAS/,120247505645350659
(운영X) [26.05]F_I_JD멜_전환_쫀득바출시_혜택강조형_제품력.50_.배너_브팀기획.멜론계최상위.마지막0원_확장_김유진_260521_1셀_오형선,https://www.instagram.com/p/DY1L3MrALS8/,120247508955390659
(운영X) [26.05]F_I_JD멜_전환_쫀득바출시_혜택강조형_제품력.50_.배너_브팀기획.쫀득뿔.마지막0원_확장_김유진_260521_1셀_오형선,https://www.instagram.com/p/DYn3khWgGyt/,120247505645640659
(운영X) [26.05]F_I_JD멜_전환_쫀득바출시_혜택강조형_제품력.50_.배너_브팀기획.칸달로프멜론.프랑스왕실.4분할.멜론듬뿍_확장_김유진_260521_1셀_오형선,https://www.instagram.com/p/DY1MpXDADEQ/,120247505648720659
(운영X) [26.05]F_I_JD멜_전환_쫀득바출시_혜택강조형_제품력.50_.배너_브팀기획.한통에50만원.50만원아꼈어요_확장_김유진_260521_1셀_오형선,https://www.instagram.com/p/DYn3lEiAH8R/,120247505653590659
(운영X) [26.05]F_I_JD멜_전환_쫀득바출시_혜택강조형_제품력.50_.배너_브팀기획.한통에50만원.최고급칸달로프멜론듬뿍_확장_김유진_260521_1셀_오형선,https://www.instagram.com/p/DY1Mq-egD4-/,120247505653560659
(운영X) [26.05]F_I_JD멜_전환_쫀득바출시_혜택강조형_혜택.100_.배너_브팀기획.고효율.곧종료됩니다_확장_김유진_260521_1셀_오형선,https://www.instagram.com/p/DY1L47XABE_/,120247505647450659
(운영X) [26.06]F_I_DB딸_전환_듬뿍바출시이벤트_직원설득형__.배너_판매중단.비싼원가.기후변화.현장감.공지문.__고가영_260610_빙과_오형선,https://www.instagram.com/p/DZZpcfnAGa_/,120249014309210659
(운영X) [26.06]F_I_DB딸_전환_듬뿍바출시이벤트_직원설득형__.배너_판매중단.비싼원가.기후변화.현장감.공지문.직원네고.__고가영_260610_빙과_오형선,https://www.instagram.com/p/DZZpcNjgCYg/,120249014309250659
(운영X) [26.06]F_I_DB딸_전환_듬뿍바출시이벤트_직원설득형__.배너_판매중단.비싼원가.시즌한정.현장감.공지문.__고가영_260610_빙과_오형선,https://www.instagram.com/p/DZZpcNJgCs6/,120249014311460659
(운영X) [26.06]F_I_DB딸_전환_듬뿍바출시이벤트_직원설득형__.배너_판매중단.비싼원가.시즌한정.현장감.공지문.직원네고.__고가영_260610_빙과_오형선,https://www.instagram.com/p/DZZpcTdAEc6/,120249014312090659
(운영X) [26.06]F_I_DB딸_전환_듬뿍바출시이벤트_직원설득형__.배너_판매중단.제조과정.수요공급.현장감.공지문.__고가영_260610_빙과_오형선,https://www.instagram.com/p/DZZpcPlAOtK/,120249014308520659
