소재명,youtube_link
F_V_P혼_인지_말차재입고_바이럴형_통화형_확장_var1.렉카_아뇨아뇨 의사쌤의 혼신의 회피 스킬.X_파인트P_박지원_260903_빙과_장일규,https://www.youtube.com/watch?v=9qnI9F83E9U
F_V_P혼_인지_말차재입고_바이럴형_통화형_확장_var2.렉카_의사 처방에 대한 청개구리 반응들.X_파인트P_박지원_260903_빙과_장일규,https://www.youtube.com/watch?v=VbUrofvakbk
F_V_P혼_인지_말차재입고_바이럴형_통화형_확장_var3.렉카_구독자랑 맨날 싸우고 있는 143만 유튜버.X_파인트P_박지원_260903_빙과_장일규,https://www.youtube.com/watch?v=kkz822lK8i0
F_V_P혼_인지_말차재입고_바이럴형_통화형_확장_var4.렉카_143만 유튜버를 말빨로 이겨버린 구독자.X_파인트P_박지원_260903_빙과_장일규,https://www.youtube.com/watch?v=T--Y3J4tSfw
[26.06]F_V_JD망_인지_쫀득바출시_맛인지형_꼬막BP_var1.릴스_취식먼저.X_1P_김유진_260626_빙과_정하얀,https://www.youtube.com/watch?v=f62dOeurJC8
[26.06]F_V_JD멜_인지_상시_인플루언서형_인플루언서형.인지_main.릴스_공통.X_1P_문선정_260619_빙과_이수민,https://www.youtube.com/watch?v=QvlSVA0nt5s
[26.06]F_V_JD멜_인지_쫀득바출시_네고형_지인네고형_var3.릴스_원가후킹.X_1P_김유진_260619_빙과_이수현,https://www.youtube.com/watch?v=NS_C7TU-T0o
[26.06]F_V_JD멜_인지_쫀득바출시_맛인지형_맛인지형.인지_main.릴스_공통.X_1P_문선정_260612_빙과_이수민,https://www.youtube.com/watch?v=zGqBzUHk7uA
[26.06]F_V_JD멜_인지_쫀득바출시_맛인지형_맛인지형.인지_var7.렉카_원조.6월.요한PJ_1P_문선정_260615_빙과_이수현,https://www.youtube.com/watch?v=I5-2oiKTsmQ
[26.06]F_V_JD멜_인지_쫀득바출시_숏츠형_유튜브읽기형_var2.릴스_원조이김.국민템.X_1P_문선정_260612_빙과_이수현,https://www.youtube.com/watch?v=hnPq8yXwFLQ
[26.06]F_V_JD멜_인지_쫀득바출시_신규BP_농부대첩BP_var3.릴스_레시피.X_2P_김유진_260626_빙과_노현경,https://www.youtube.com/watch?v=0SuK9TZfUiI
[26.06]F_V_JD멜_인지_쫀득바출시_신규BP_써우리BP_var1.릴스_비교1.X_1P_문선정_260626_빙과_이수민,https://www.youtube.com/watch?v=vOD63UxH5c0
[26.06]F_V_JD멜_인지_쫀득바출시_신규BP_써우리BP_var4.릴스_품절희소성.X_1P_문선정_260626_빙과_김진수,https://www.youtube.com/watch?v=LzHfadbqy1I
[26.06]F_V_JD멜_인지_쫀득바출시_원가강조형_미틀리에BP_main.릴스_공통.X_2P_김바다_260605_빙과_조의진,https://www.youtube.com/watch?v=2hcN-HsVs_k
[26.06]F_V_JD멜_인지_쫀득바출시_인물리뷰형_4050대세감_var3.릴스_왁뿌후킹.X_1P_문선정_260619_빙과_강다빈,https://www.youtube.com/watch?v=Xj9usm-lkxw
[26.06]F_V_JD멜_인지_쫀득바출시_인물리뷰형_렉카형_main.릴스_공통.X_2P_고가영_260612_빙과_김지연,https://www.youtube.com/watch?v=RLu-SP7yvTg
[26.06]F_V_JD멜_인지_쫀득바출시_일상반응형_누나동생_var3.렉카_욕심.X_1P_문선정_260619_빙과_노현경,https://www.youtube.com/watch?v=-isEMnUIVfE
[26.07]F_V_JD멜_바이럴_쫀득바출시_인지_정보전달형_main.렉카_업계최초.X_2P_김유진_260722_빙과_유영현,https://www.youtube.com/watch?v=RcgOcbnDSkI
[26.07]F_V_JD멜_인지_쫀득바출시_기타_AI활용형_main.릴스_CS제조.타사견제.본론.X_1P_문선정_260716_빙과_강다빈,https://www.youtube.com/watch?v=lBKYwYjG1bM
[26.07]F_V_JD멜_인지_쫀득바출시_기타_AI활용형_main.릴스_cs제조과정형.본론.AI건_1P_문선정_260709_빙과_강다빈,https://www.youtube.com/watch?v=UmE3aRsqEIk
[26.07]F_V_JD멜_인지_쫀득바출시_기타_AI활용형_main.릴스_바운스번BP.짝퉁등장.도망달리기.AI건_1P_문선정_260716_빙과_함주현,https://www.youtube.com/watch?v=rsWTLNoNRzY
[26.07]F_V_JD멜_인지_쫀득바출시_기타_AI활용형_main.릴스_실수네고형.이벤트기간.본론.X_1P_문선정_260716_빙과_강다빈,https://www.youtube.com/watch?v=tFKrjm3-fZM
[26.07]F_V_JD멜_인지_쫀득바출시_기타_AI활용형_main.릴스_실수네고형.할인가실수.출근길.AI건_1P_문선정_260709_빙과_함주현,https://www.youtube.com/watch?v=efIysQcrYIM
[26.07]F_V_JD멜_인지_쫀득바출시_기타_AI활용형_main.릴스_초딩유행템.금지령.AI건_1P_문선정_260722_빙과_강다빈,https://www.youtube.com/watch?v=J5H1gGpcQYY
